Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,15.0,14.9,10.3,0.521,0.023,213,0.001,8488
2,Sage,14.9,15.1,7.4,0.519,0.098,205,0.001,36899
3,Phoenix,17.0,15.6,4.8,0.518,0.012,237,0.002,4409
4,Reyna,17.7,15.8,4.2,0.501,0.073,242,0.002,27335
5,Raze,17.1,16.3,4.9,0.5,0.125,245,0.002,46969
6,Killjoy,15.2,14.5,3.5,0.499,0.042,207,0.001,15609
7,Skye,14.6,15.1,8.2,0.498,0.12300000000000001,199,0.001,46183
8,Astra,15.5,14.7,7.5,0.496,0.045,210,0.001,16701
9,Jett,17.6,16.3,3.6,0.496,0.14300000000000002,240,0.002,53816
10,Sova,15.0,15.1,5.8,0.494,0.004,210,0.001,1488
11,Omen,15.2,15.0,8.7,0.49200000000000005,0.12,207,0.001,45171
12,Gekko,14.4,15.1,4.7,0.491,0.006999999999999999,195,0.001,2543
13,Fade,14.8,15.1,6.2,0.49,0.008,202,0.001,3015
14,Cypher,15.0,14.7,4.4,0.488,0.057999999999999996,201,0.001,21630
15,Chamber,16.6,15.2,2.7,0.488,0.027000000000000003,222,0.002,9972
16,Deadlock,15.8,15.1,3.9,0.48700000000000004,0.043,223,0.001,16174
17,Neon,16.2,16.5,4.3,0.48200000000000004,0.004,226,0.002,1392
18,Breach,14.5,15.2,7.9,0.48,0.019,198,0.001,7267
19,Yoru,16.3,15.7,4.4,0.478,0.008,225,0.002,3079
20,Viper,15.9,15.1,5.7,0.46399999999999997,0.006999999999999999,218,0.001,2764
21,KAY/O,14.7,15.6,9.4,0.455,0.01,207,0.001,3840
22,Harbor,14.0,15.2,6.8,0.426,0.001,196,0.001,376
